[2022-11-17 10:55:40] WeeChat 3.7.1 (compiled on Oct 21 2022 13:05:52)
[2022-11-17 10:55:40] Reading configuration file sec.conf
[2022-11-17 10:55:40] Reading configuration file weechat.conf
[2022-11-17 10:55:40] Reading configuration file plugins.conf
[2022-11-17 10:55:40] Reading configuration file charset.conf
[2022-11-17 10:55:40] Reading configuration file logger.conf
[2022-11-17 10:55:40] Reading configuration file exec.conf
[2022-11-17 10:55:40] Reading configuration file trigger.conf
[2022-11-17 10:55:40] Reading configuration file spell.conf
[2022-11-17 10:55:40] Reading configuration file alias.conf
[2022-11-17 10:55:40] Reading configuration file buflist.conf
[2022-11-17 10:55:40] Reading configuration file fifo.conf
[2022-11-17 10:55:40] Reading configuration file typing.conf
[2022-11-17 10:55:40] Reading configuration file xfer.conf
[2022-11-17 10:55:40] Reading configuration file irc.conf
[2022-11-17 10:55:40] Reading configuration file relay.conf
[2022-11-17 10:55:40] Reading configuration file lua.conf
[2022-11-17 10:55:40] Reading configuration file perl.conf
[2022-11-17 10:55:40] Reading configuration file python.conf
[2022-11-17 10:55:40] Reading configuration file ruby.conf
[2022-11-17 10:55:40] Reading configuration file tcl.conf
[2022-11-17 10:55:40] Reading configuration file script.conf
[2022-11-17 10:55:40] Reading configuration file fset.conf
[2022-11-17 10:55:47] irc: connecting to server localhost/5678...
[2022-11-17 11:01:57] irc: connecting to server localhost/5678...
[2022-11-17 11:02:17] irc: connecting to server localhost/5678...
[2022-11-17 11:02:57] irc: connecting to server localhost/5678...
[2022-11-17 11:04:17] irc: connecting to server localhost/5678...
[2022-11-17 11:06:57] irc: connecting to server localhost/5678...
[2022-11-17 11:12:17] irc: connecting to server localhost/5678...
[2022-11-17 11:22:17] irc: connecting to server localhost/5678...
[2022-11-17 11:32:17] irc: connecting to server localhost/5678...
[2022-11-17 11:42:17] irc: connecting to server localhost/5678...
[2022-11-17 11:52:17] irc: connecting to server localhost/5678...
[2022-11-17 12:02:17] irc: connecting to server localhost/5678...
[2022-11-17 12:12:17] irc: connecting to server localhost/5678...
[2022-11-17 12:22:29] irc: connecting to server localhost/5678...
[2022-11-17 12:35:48] irc: connecting to server localhost/5678...
[2022-11-17 12:46:22] irc: connecting to server localhost/5678...
[2022-11-17 13:04:49] irc: connecting to server localhost/5678...
[2022-11-17 13:22:04] irc: connecting to server localhost/5678...
[2022-11-17 13:37:28] irc: connecting to server localhost/5678...
[2022-11-17 13:54:08] irc: connecting to server localhost/5678...
[2022-11-17 14:11:39] irc: connecting to server localhost/5678...
